순위,시도명,관광지명,주소,중분류,소분류,검색건수
1,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,2453488
2,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,1047023
3,서울특별시,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,1019548
4,경기도,코스트코홀세일하남점,경기 하남시 미사강변중앙로 40-0,쇼핑,대형마트,996756
5,경기도,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,976906
6,경기도,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,973855
7,강원도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,925389
8,경상남도,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,835648
9,경기도,오산오색시장,경기 오산시 오산로278번길 10-0,쇼핑,시장,815064
10,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,778706
11,강원도,쏠비치삼척,강원 삼척시 수로부인길 453-0,숙박,콘도미니엄,776856
12,서울특별시,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,757060
13,서울특별시,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,727574
14,경기도,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,725399
15,경기도,PPO,경기 평택시 경기대로 945-0,쇼핑,대형마트,687984
16,경기도,롯데백화점안산점,경기 안산시 단원구 고잔1길 12-0,쇼핑,백화점,677768
17,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,664360
18,경기도,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,647340
19,강원도,소노벨비발디파크,강원 홍천군 한치골길 262-0,숙박,콘도미니엄,627664
20,부산광역시,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,607703
21,경기도,용인중앙시장,경기 용인시 처인구 용문로 198-1,쇼핑,시장,580952
22,경기도,코스트코홀세일공세점,경기 용인시 기흥구 탑실로 38-0,쇼핑,대형마트,575691
23,대전광역시,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,쇼핑,백화점,545869
24,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,530623
25,인천광역시,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,508209
